BASIN,y1,y2,ychange,axis,lsr_ax,dist_cent_ax,sorensen_ax
JON,2010,2014,4,TDR,0.5457971686239796,1.5336739606539507,0.4037317525210749
JON,2010,2014,4,sg_rich,-0.04670024773086663,1.5769201022748944,0.44412733039634467
JON,2010,2015,5,TT,-0.2764418694579099,2.0230604000754666,0.2102993186219708
JON,2010,2015,5,HW,0.13084313548099066,2.0015495325630877,0.16989940431290906
JON,2010,2015,5,SF,1.042292888941671,0.8423406455002145,0.2950157920681185
JON,2010,2015,5,TMA,-0.8191056802101647,2.025898988712656,0.19094311676602035
JON,2010,2015,5,TDR,-1.0881549321318567,2.0286880630486195,0.20205178844547436
JON,2010,2015,5,sg_rich,-0.29556074441225505,1.9065979955947217,0.2047181452365559
JON,2010,2016,6,TT,4.773686822723082,3.5081736632428355,0.006167419846267786
JON,2010,2016,6,HW,5.21702629429309,3.6404534414219922,0.004806693180209849
JON,2010,2016,6,SF,6.61173811726032,2.854478216336129,0.002461594658475818
JON,2010,2016,6,TMA,3.151557462443758,3.528948251145398,0.02543857128508258
JON,2010,2016,6,TDR,2.3785730285330158,3.0388371424202414,0.051697636035981744
JON,2010,2016,6,sg_rich,4.4517388641218085,3.2556001191057113,0.0066316944311576465
